Found 229 batch files (229 logical batches, 0 multi-part):
  batch-1.json: 35 nodes, 97 edges
  batch-2.json: 35 nodes, 48 edges
  batch-3.json: 35 nodes, 40 edges
  batch-4.json: 35 nodes, 61 edges
  batch-5.json: 35 nodes, 90 edges
  batch-6.json: 35 nodes, 37 edges
  batch-7.json: 35 nodes, 47 edges
  batch-8.json: 35 nodes, 74 edges
  batch-9.json: 35 nodes, 51 edges
  batch-10.json: 35 nodes, 122 edges
  batch-11.json: 35 nodes, 115 edges
  batch-12.json: 35 nodes, 74 edges
  batch-13.json: 35 nodes, 52 edges
  batch-14.json: 35 nodes, 76 edges
  batch-15.json: 35 nodes, 95 edges
  batch-16.json: 35 nodes, 44 edges
  batch-17.json: 34 nodes, 61 edges
  batch-18.json: 34 nodes, 68 edges
  batch-19.json: 34 nodes, 37 edges
  batch-20.json: 34 nodes, 96 edges
  batch-21.json: 34 nodes, 62 edges
  batch-22.json: 34 nodes, 39 edges
  batch-23.json: 33 nodes, 85 edges
  batch-24.json: 33 nodes, 65 edges
  batch-25.json: 31 nodes, 67 edges
  batch-26.json: 31 nodes, 51 edges
  batch-27.json: 31 nodes, 57 edges
  batch-28.json: 30 nodes, 67 edges
  batch-29.json: 30 nodes, 48 edges
  batch-30.json: 30 nodes, 85 edges
  batch-31.json: 30 nodes, 41 edges
  batch-32.json: 30 nodes, 79 edges
  batch-33.json: 30 nodes, 38 edges
  batch-34.json: 30 nodes, 35 edges
  batch-35.json: 29 nodes, 67 edges
  batch-36.json: 29 nodes, 101 edges
  batch-37.json: 29 nodes, 87 edges
  batch-38.json: 29 nodes, 28 edges
  batch-39.json: 28 nodes, 37 edges
  batch-40.json: 27 nodes, 50 edges
  batch-41.json: 27 nodes, 64 edges
  batch-42.json: 26 nodes, 29 edges
  batch-43.json: 26 nodes, 40 edges
  batch-44.json: 26 nodes, 26 edges
  batch-45.json: 25 nodes, 49 edges
  batch-46.json: 24 nodes, 28 edges
  batch-47.json: 24 nodes, 43 edges
  batch-48.json: 22 nodes, 41 edges
  batch-49.json: 20 nodes, 19 edges
  batch-50.json: 20 nodes, 45 edges
  batch-51.json: 19 nodes, 30 edges
  batch-52.json: 19 nodes, 37 edges
  batch-53.json: 19 nodes, 19 edges
  batch-54.json: 18 nodes, 36 edges
  batch-55.json: 18 nodes, 17 edges
  batch-56.json: 18 nodes, 17 edges
  batch-57.json: 18 nodes, 38 edges
  batch-58.json: 17 nodes, 26 edges
  batch-59.json: 17 nodes, 23 edges
  batch-60.json: 15 nodes, 26 edges
  batch-61.json: 14 nodes, 22 edges
  batch-62.json: 13 nodes, 15 edges
  batch-63.json: 13 nodes, 14 edges
  batch-64.json: 13 nodes, 26 edges
  batch-65.json: 12 nodes, 18 edges
  batch-66.json: 11 nodes, 11 edges
  batch-67.json: 11 nodes, 14 edges
  batch-68.json: 10 nodes, 18 edges
  batch-69.json: 10 nodes, 9 edges
  batch-70.json: 9 nodes, 16 edges
  batch-71.json: 9 nodes, 10 edges
  batch-72.json: 8 nodes, 7 edges
  batch-73.json: 8 nodes, 11 edges
  batch-74.json: 8 nodes, 15 edges
  batch-75.json: 7 nodes, 9 edges
  batch-76.json: 7 nodes, 7 edges
  batch-77.json: 7 nodes, 14 edges
  batch-78.json: 7 nodes, 6 edges
  batch-79.json: 7 nodes, 6 edges
  batch-80.json: 7 nodes, 8 edges
  batch-81.json: 6 nodes, 6 edges
  batch-82.json: 5 nodes, 6 edges
  batch-83.json: 5 nodes, 4 edges
  batch-84.json: 5 nodes, 6 edges
  batch-85.json: 5 nodes, 8 edges
  batch-86.json: 5 nodes, 4 edges
  batch-87.json: 5 nodes, 5 edges
  batch-88.json: 5 nodes, 6 edges
  batch-89.json: 5 nodes, 7 edges
  batch-90.json: 5 nodes, 4 edges
  batch-91.json: 4 nodes, 4 edges
  batch-92.json: 4 nodes, 4 edges
  batch-93.json: 4 nodes, 3 edges
  batch-94.json: 4 nodes, 5 edges
  batch-95.json: 4 nodes, 3 edges
  batch-96.json: 4 nodes, 4 edges
  batch-97.json: 3 nodes, 2 edges
  batch-98.json: 3 nodes, 3 edges
  batch-99.json: 3 nodes, 3 edges
  batch-100.json: 3 nodes, 3 edges
